store_id,street_address,city,zip_code,dma_name,franchise_owner,franchise_name
0001,123 Main St,Lindaview,10178,New York,Annette Turner,Turner Food Inc
0002,124 Main St,Deannaland,60304,Chicago,Alexis Jefferson,Jefferson Food Inc
0003,125 Main St,Port Kaylaville,19006,Philadelphia,Amanda Greene,Greene Food Inc
0004,126 Main St,West William,15209,Pittsburgh,Corey Prince,Prince Food Inc
0005,127 Main St,East Stevenland,05141,Boston (Manchr),Melissa Johnson,Johnson Food Inc
0006,128 Main St,Deannaland,60304,Chicago,Ronald Patel,Patel Food Inc
0007,129 Main St,West William,15209,Pittsburgh,Shane Kim,Kim Food Inc
0008,130 Main St,Richardfurt,75117,Dallas-Ft.Worth,Angie Coleman,Coleman Food Inc
0009,131 Main St,West Joshuachester,55553,Mineapls-St. Pl,Latoya House,House Food Inc
0010,132 Main St,Lake Matthewshire,02205,Boston (Manchr),Travis Frye,Frye Food Inc
0011,133 Main St,East Jennifermouth,16018,Pittsburgh,Natalie Meyer,Meyer Food Inc
0012,134 Main St,Richardfurt,75117,Dallas-Ft.Worth,Valerie Rodriguez,Rodriguez Food Inc
0013,135 Main St,Lake Matthewshire,02205,Boston (Manchr),Alexis Jefferson,Jefferson Food Inc
0014,136 Main St,Suzannetown,02667,Boston (Manchr),Anthony Jackson,Jackson Food Inc
0015,137 Main St,Wiseport,60516,Chicago,Melissa Johnson,Johnson Food Inc
0016,138 Main St,Wiseport,60516,Chicago,Diane Daniels,Daniels Food Inc
0017,139 Main St,Haynesville,19802,Philadelphia,Sarah Morris,Morris Food Inc
0018,140 Main St,West Joshuachester,55553,Mineapls-St. Pl,Kelly Mora,Mora Food Inc
0019,141 Main St,Jonesfurt,01525,Boston (Manchr),Johnny Vargas,Vargas Food Inc
0020,142 Main St,Christopherfort,75253,Dallas-Ft.Worth,Diane Daniels,Daniels Food Inc
0021,143 Main St,Ashleybury,90746,Los Angeles,Melissa Johnson,Johnson Food Inc
0022,144 Main St,East Jennifermouth,16018,Pittsburgh,Travis Frye,Frye Food Inc
0023,145 Main St,New Lindsay,19179,Philadelphia,Cynthia Lee,Lee Food Inc
0024,146 Main St,Lindaview,10178,New York,Norman Martin,Martin Food Inc
0025,147 Main St,Lindaview,10178,New York,Amanda Greene,Greene Food Inc
0026,148 Main St,Richardfurt,75117,Dallas-Ft.Worth,Jennifer Reyes,Reyes Food Inc
0027,149 Main St,East Stevenland,05141,Boston (Manchr),Angie Coleman,Coleman Food Inc
0028,150 Main St,Lindaview,10178,New York,Robert Robinson,Robinson Food Inc
0029,151 Main St,Timothyview,75392,Dallas-Ft.Worth,Cynthia Lee,Lee Food Inc
0030,152 Main St,Wiseport,60516,Chicago,Kristen Gomez,Gomez Food Inc
0031,153 Main St,Christopherfort,75253,Dallas-Ft.Worth,Matthew Harrison,Harrison Food Inc
0032,154 Main St,West Joshuachester,55553,Mineapls-St. Pl,Brooke Young,Young Food Inc
0033,155 Main St,New Lindsay,19179,Philadelphia,Ronald Patel,Patel Food Inc
0034,156 Main St,West William,15209,Pittsburgh,Susan Hansen,Hansen Food Inc
0035,157 Main St,Deannaland,60304,Chicago,Brooke Young,Young Food Inc
